Marking	English	Abbreviated Form	Full Form	Equivalent	Subfield1	Subfield2	Chinese	Recommendation	Count	A) 理論與應用語言學英漢辭典	B) 語言學名詞2011	C) 現代語言學詞典	D) 新編英漢語言學詞典	E) LSHK	Sort1
	initial				PHN		聲母	R		√					0
*	initial			onset	PHN		音節首	A			√				1
	initial				HIS		聲紐	A		√					1
	initial				#		聲類	D		√					2
	initial				#		首音	D		√					2
	initial				PHN		聲母	R			√				0
	initial				MOR		詞首	R		√					0
	initial				PHN		聲母	R			√				0
	initial				OTH		句首	A		√					1
	initial glide						首流						√		100
	initial mutation						聲母變換						√		100
	initial phrase marker						初始短語標記						√		100
	initial stress				PHT		起首重音	R		√					0
	initial stress				PHT		詞首重音	A		√					1
	initial stress				#		首重音	D				√			2
	initial stress				#		首重音	D					√		2
	initial structure						初始結構						√		100
	initial symbol				CML		起始符號	R				√			0
	initial symbol				CML		起頭符號	A		√					1
*	Initial Teaching Alphabet	ITA	Initial Teaching Alphabet				啟蒙教學字母						√		100
*	initialism			alphabetisms	LEX		首字母縮寫詞	A				√			1
*	initialism			alphabetism	LEX		首字母縮略詞	A			√				1
	initialism				LEX		首字母縮寫詞	A		√					1
	initialism				LEX		首字母縮略詞	A					√		1
	initialism						首字母縮合詞						√		100
	initiation				CML		啟動	R				√			0
	initiation				CML		起動作用	A		√					1
	initiation						啟動作用						√		100
	initiator				CML		啟動器	R				√			0
	initiator				PHT		啟動部位	R					√		0
*	initiator			agent	PHT		啟動部位	R		√					0
*	initiator			agent	PHT		啟動器官	R						√	0
*	initiator			agent	PRG		起始者	R						√	0
*	initiator			agent	PRG		起始部份	A		√					1
*	initiator			agent	SEM		施事者	A		√					1
	injective						吸氣音						√		100
	injunctive						命令式						√		100
	innateness				GEN		天賦性	A				√			1
	innateness				#		良知	D		√					2
	innateness hypothesis				GEN		天賦說	R			√	√			0
	innateness hypothesis				GEN		天賦假說	R						√	0
*	innateness position			innatist hypothesis			先天假設論						√		100
*	innatist hypothesis			innateness position			先天假設論						√		100
*	innatist position			innatist hypothesis			先天假設論						√		100
	inner circle English						內圈英語						√		100
	inner closure						內部封閉						√		100
	inner form						內部形式						√		100
	inner speech						內部言語						√		100
	innovation						創新						√		100
	innuendo						暗諷						√		100
	inordinated adjective						強調形容詞						√		100
	inorganic feature						非有機特徵						√		100
	input						輸入						√		100
	Input Hypothesis						輸入假設						√		100
	Input Model						輸入模式						√		100
	inseparability				OTH		不可分割性	R				√			0
	inseparability				OTH		不可分性	A		√					1
	inseparable						不可分的						√		100
*	insert			insertion	OTH		插入	R				√			0
	insert				SYN		包接子句	A		√					1
	insert				SYN		挿入句	A		√					1
	insert				#		插頁	D			√				2
	insert						嵌入						√		100
*	inserted clause			parenthetical clause			插入句						√		100
	inserted sequence						插入序列						√		100
*	insertion			epenthesis	PHN		插音	R						√	0
*	insertion			epenthesis	PHN		增音	A			√				1
*	insertion			insert	#		插入	D				√			2
	insertion				OTH		挿入	R		√					0
	insertion				#		嵌音	D		√					2
*	inspiration			inhalation			吸氣						√		100
	inspiratory						吸氣音						√		100
	instantaneous				PHT		瞬時［除阻］	R				√			0
	instantaneous				OTH		瞬間的	R		√					0
	instantaneous release vs. delayed release						瞬時除阻對延時除阻						√		100
	institutional linguistics				SOC		行業語言學	R				√			0
	institutional linguistics				SOC		制定語言學	A		√					1
	institutional linguistics				SOC		機制語言學	A		√					1
	institutional linguistics						語言規劃學						√		100
	institutional setting						習俗化場景						√		100
	instructional objective						教育目標						√		100
	instrumental case						工具格						√		100
	instrumental clause						工具從句						√		100
	instrumental function						工具功能						√		100
	instrumental motivation				SOC		手段性的動機	R		√					0
	instrumental motivation				SOC		工具型動機	A			√				1
	instrumental motivation				SOC		工具性動機	A		√					1
	instrumental motivation				SOC		工具型動機	A					√		1
	instrumental noun						工具名詞						√		100
	instrumental phonetics				PHT		儀器語音學	R		√		√			0
	instrumental phonetics				PHT		儀器語音學	R					√		0
	instrumental phonetics						實驗語音學						√		100
	instrumentative verb						工具動詞						√		100
	intake						吸入						√		100
	integrated approach						融合教學法						√		100
	integration						一致						√		100
	integration						整化						√		100
	integrational linguistics						整合語言學						√		100
	integrational linguistics						綜合語言學						√		100
	integrative aspect						綜合體						√		100
	integrative element						綜合成分						√		100
	integrative motivation				SOC		整合動機	R			√				0
	integrative motivation				SOC		融合型動機	R			√				0
	integrative motivation				SOC		整合性的動機	A		√					1
	integrative motivation				SOC		歸附動機	A			√				1
	integrative motivation				SOC		綜合性的動機	A		√					1
	integrative motivation						歸附型動機						√		100
	integrative processes						意義組合過程						√		100
	integrative test						綜合能力測試						√		100
	intelligibility				SOC		可懂度	R		√	√				0
	intelligibility				SOC		可解度	A		√					1
	intelligibility						可讀性						√		100
	intelligibility						可解讀性						√		100
	intelligibility						可理解度						√		100
	intensifier				LEX		加強詞	R		√					0
	intensifier				SYN		加強副詞	A		√					1
	intensifier				SYN		程度副詞	A				√			1
*	intensifier			intensive			強調成分						√		100
	intensifier						強勢詞						√		100
	intensifying modifier						強勢修飾語						√		100
	intension				OTH		內涵	R		√		√			0
	intension				OTH		內涵	R					√		0
	intensional						內包的						√		100
	intensional						內涵的						√		100
	intensional context						內涵性語境						√		100
	intensional definition				OTH		內涵定義	R				√			0
	intensional definition				OTH		內涵釋義	A			√				1
	intensional logic						內涵邏輯						√		100
	intensional meaning						內涵意義						√		100
	intensional verb						內涵性動詞						√		100
	intensity				OTH		強度	R		√					0
	intensity				PHT		音強	R			√	√			0
	intensity stress						音勢重音						√		100
	intensive				LEX		加強詞	A		√					1
	intensive				SYN		緊連式	A				√			1
*	intensive			intensifier			強調成分						√		100
	intensive pronoun						強勢代詞						√		100
	intensive reading						精讀						√		100
	intensive verb				SYN		緊連動詞	A				√			1
	intensive verb				SYN		連繫動詞	A		√					1
	intentionality						意向性						√		100
	inter-center reliability						評分點之間信度						√		100
	inter-scorer reliability						評分者之間信度						√		100
	inter-sentence relation						句間關係						√		100
	interaction				OTH		互動	R		√		√			0
	interaction				OTH		互涉效應	A		√					1
	interaction				OTH		交互作用	A		√					1
	interaction analysis						互動分析						√		100
	interactional function						互動功能						√		100
	interactional language						互動的語言						√		100
	interactional sociolinguistics				SOC		互動社會語言學	R			√	√			0
	interactive						互動式的						√		100
	interactive machine translation						人機互助翻譯						√		100
	interactive parallel search						互動平行搜索						√		100
	interactive process						互動交際過程						√		100
	interactive reading						互動作用閱讀						√		100
	interactives						相應性反義詞						√		100
	interchange						互換						√		100
	interchange						交換						√		100
	interconsonantal						輔音間的						√		100
	intercultural pragmatics						跨文化語用學						√		100
	interdental				PHT		齒間音	R		√		√			0
	interdental				PHT		齒間音	R					√		0
	interdependence						相互依存關係						√		100
	interdependency						相互依存關係						√		100
	interference				APL		干擾	R		√		√			0
	interference				APL		干擾	R					√		0
	interfix						中插詞綴						√		100
	intergroup communication						團體間交際						√		100
	interim grammar						臨時語法						√		100
	interjected clause						插入小句						√		100
	interjection				SYN		嘆詞	A		√	√	√			1
	interjection				SYN		感嘆詞	A		√					1
	interjection				SYN		感嘆詞	A					√		1
	Interjectional Theory						感嘆說						√		100
*	interlanguage	IL	interlanguage		APL		中介語	R					√		0
	interlanguage				APL		中介語	R			√				0
	interlanguage				SOC		語際語言	R			√				0
	interlanguage				#		中間語	D				√			2
*	interlanguage	IL	interlanguage				過渡語						√		100
*	interlanguage	IL	interlanguage				人工混合語						√		100
*	interlanguage	IL	interlanguage				族際語						√		100
	interlanguage				APL		中介語言	A		√					1
	interlanguage				SOC		語間語	A		√					1
	interlanguage				#		中間語言	D		√					2
	interlanguage				SOC		人造語言	A		√					1
	interlanguage				SOC		國際語言	A		√					1
	interlanguage				SOC		族際語言	A		√					1
	interlinear translation						隔行對照譯法						√		100
*	interlingua			intermediate language	APL		中介語	R			√				0
*	interlingua			intermediate language	#		中間語言	D			√				2
	interlingua						國際輔助語						√		100
	interlingua						語間語						√		100
	interlingua				APL		中介語	R				√			0
	interlingua				SOC		族際語	A				√			1
	interlingua approach						中間語言法						√		100
	interlingual errors						母語干擾性誤差						√		100
	interlingual errors						語際干擾性誤差						√		100
	interlingual translation						語際翻譯						√		100
	interlinguistics						語際語言學						√		100
	interlinguistique						國際語學						√		100
	interlocutor						參加談話者						√		100
	interlocutor						對話者						√		100
	interlude						中間輔音叢						√		100
	intermediate degree						中介量值						√		100
	intermediate norm						恰如其分的規範						√		100
	intermediate projection				SYN		中間投射	A				√			1
	intermediate projection				#		仲介投射	D		√					2
	intermediate vowel						央元音						√		100
	intermediate vowel						中間元音						√		100
	internal borrowing						內部借用						√		100
	internal change						內部變化						√		100
	internal consistency reliability						內部一致性信度						√		100
	internal hiatus						內部連讀						√		100
	internal inflexion						內部屈折						√		100
	internal language						內部語言						√		100
	internal loan						內部借用						√		100
	internal meaning						內部意義						√		100
	internal modification						內部變化						√		100
	internal open juncture				MOR		內部開音渡	R				√			0
	internal open juncture				MOR		內部開音渡	R					√		0
	internal open juncture				MOR		停頓	A		√					1
	internal open juncture						內部開連音						√		100
	internal reconstruction				HIS		內部構擬	R		√		√			0
	internal reconstruction				HIS		內部構擬	R					√		0
	internal rhyme						本行押韻						√		100
	internal sandhi						內部連音變化						√		100
	internal speech						內部言語						√		100
	internalize				PSY		內在化	R				√			0
	internalize				PSY		內化	A		√					1
*	internalized language	I-language	internalized language		PSY		I-語言	R				√			0
*	internalized language	I-language	internalized language		PSY		內在化語言	R			√	√			0
*	internalized language	I-language	internalized language		PSY		內化語言	A			√				1
	internalized language				PSY		內化語言	A					√		1
*	internalized language	I-language	internalized language		#		I語言	D			√				2
	internalized language						內部語言						√		100
	International Association for World Englishes						世界英語國際協會						√		100
*	International Congress of Linguists	ICL	International Congress of Linguists				國際語言學家會議						√		100
*	International Congress of Phonetic Sciences	ICPhS	International Congress of Phonetic Sciences				國際語音科學會議						√		100
*	International English Language Testing System	IELTS	International English Language Testing System				國際英語考試						√		100
*	International English Language Testing System	IELTS	International English Language Testing System				雅思考試						√		100
	international foreign word						國際性外來詞						√		100
	international language				SOC		國際語言	R		√	√				0
	international language				SOC		國際語言	R					√		0
*	International Phonetic Alphabet	IPA	International Phonetic Alphabet		PHT		國際音標	R		√	√				0
*	International Phonetic Alphabet	IPA	International Phonetic Alphabet		PHT		國際音標	R					√		0
*	International Phonetic Alphabet	IPA	International Phonetic Alphabet		PHT		萬國音標	A		√					1
*	International Phonetic Alphabet	IPA	International Phonetic Alphabet	chart	#		國際音標表	D				√			2
*	International Phonetic Association	IPA	International Phonetic Association				國際語音學會						√		100
*	International Society of Phonetic Sciences	ISPhS	International Society of Phonetic Sciences				國際語音科學協會						√		100
	international words						國際詞						√		100
	interpersonal				OTH		人際的	R		√					0
	interpersonal				OTH		人際［功能］	A				√			1
	interpersonal communication						人際交際						√		100
	interpersonal context						人際語境						√		100
	Interpersonal function				PRG		人際功能	R				√			0
	interpersonal function				PRG		人際功能	R					√		0
	interpersonal function				PRG		人際（關係的）功能	A		√					1
	interpersonal meaning				SEM		人際義	R				√			0
	interpersonal meaning				SEM		人際意義	A		√					1
	interpersonal metaphor						人際隱喻						√		100
	interpersonal rhetoric						人際修辭						√		100
	interpersonal rhetoric principles						人際修辭原則						√		100
	interpersonal theme						人際主位						√		100
	interpretant						解釋符						√		100
	interpretation						翻譯						√		100
	interpretation						解釋						√		100
	interpretation						口譯						√		100
	interpretative procedure						理解過程						√		100
	interpretative procedure						釋義過程						√		100
	interpretative sociology						解釋社會學						√		100
	interpreter						解釋程序						√		100
	interpreter						譯員						√		100
	interpreting						翻譯						√		100
	interpreting						口譯						√		100
	interpretive error						釋義錯誤						√		100
	interpretive rule						解釋規則						√		100
	interpretive semantics				SEM		解釋語義學	R				√			0
	interpretive semantics				SEM		解釋語義學	R					√		0
	interpretive semantics				SEM	GEN	解釋語義學	R			√				0
	interpretive semantics				SEM	GEN	釋義語義學	A			√				1
	interpretive semantics				#		解釋語義學派	D			√				2
	interpretivists						解釋學派						√		100
	interrater reliability						評分者之間信度						√		100
	interrogation mark						問號						√		100
	interrogation point						問號						√		100
	interrogative						疑問句						√		100
	interrogative						疑問式						√		100
	interrogative adjective						疑問形容詞						√		100
	interrogative adverb						疑問副詞						√		100
*	interrogative pronoun			Wh-word	SYN		疑問代詞	A			√				1
*	interrogative pronoun			interrogative word	SYN		疑問代詞	A			√				1
	interrogative pronoun				SYN		疑問代詞	A		√		√			1
	interrogative pronoun				SYN		疑問代詞	A					√		1
	interrogative sentence				SYN		問句	A		√					1
	interrogative sentence				SYN		疑問句	A		√	√				1
	interrogative sentence				SYN		疑問句	A					√		1
	interrogative word				SYN		疑問詞	R		√					0
	interrogative word				SYN		疑問詞	R					√		0
*	interrogative word			Wh-word	SYN		疑問代詞	A			√				1
*	interrogative word			interrogative pronoun	SYN		疑問代詞	A			√				1
	interrupted				PHT		阻斷［音］	R				√			0
	interrupted				PHT		中斷音	R					√		0
	interrupted				OTH		中斷的	R		√					0
	interrupted				PHT		中斷音	R		√					0
	interrupted vs. continuant						中斷音對延續音						√		100
	interruption						中斷						√		100
	intersemiotic translation						符際翻譯						√		100
	intertextuality						互文性						√		100
	intertextuality						篇際制約						√		100
	intertextuality						文本相關						√		100
	interval scale						等距量表						√		100
	interview						採訪						√		100
	intervocalic				PHT		元音間的	R		√					0
	intervocalic				PHT		元音間［輔音］	A				√			1
	intervocalic				PHT		元音間輔音	A					√		1
	intimacy						親密程度						√		100
	intimate				PRG		親暱體的	R		√					0
	intimate				#		親密	D				√			2
	intimate speech						親暱言語						√		100
	intimate style				PRG		親切語體	R			√				0
	intimate style				PRG		親切體	A		√					1
	intonation				PHT		語調	R		√	√	√			0
	intonation				PHT		語調	R					√		0
	intonation contour						語調升降曲線						√		100
*	intonation formant			intonation morpheme			語調形素						√		100
	intonation language						語調語言						√		100
*	intonation morpheme			intonation formant			語調形素						√		100
	intonation pattern						語調模式						√		100
	intonational phrase				PHT		語調短語	R			√	√			0
	intonational phrase						語調段						√		100
	intra-rater reliability						評分者自身信度						√		100
	intra-scorer reliability						評分者自身信度						√		100
	intragroup communication						同族內的交際						√		100
	intralingual errors						非母語干擾誤差						√		100
	intralingual errors						目的語干擾誤差						√		100
	intralingual errors						語內干擾誤差						√		100
	intralingual translation						語內翻譯						√		100
	intralinguistic context						語內語境						√		100
	intralinguistic features						語言內部特徵						√		100
	intralinguistic vs. extralinguistic						語言內的對語言外的						√		100
	intralinguistics						內部語言學						√		100
	intransitive				SYN		不及物	A				√			1
	intransitive				SYN		不及物性	A		√					1
	intransitive						不及物的						√		100
	intransitive verb				SYN		不及物動詞	R		√	√				0
	intransitive verb				SYN		內動詞	A		√					1
	intransitive verb				SYN		自動詞	A		√					1
	intransitivity				SYN		不及物性	A		√		√			1
	intransitivization rule						不及物化規則						√		100
	intraverbal operants						言內操作反應						√		100
	intrinsic ordering				OTH		內在序次	R				√			0
	intrinsic ordering				#		內定的次序	D		√					2
	introductory adverb						引導副詞						√		100
	introductory part						引導部分						√		100
	introflexion						內部屈折						√		100
	intruder function						闖入者功能						√		100
	intrusion						侵入音						√		100
	intrusion						外加音						√		100
	intrusive						外加音						√		100
	intrusive r						外加音r						√		100
*	intuition			Sprachgefühl	PSY		語感	R				√			0
	intuition				PSY		語感	R		√					0
	intuition				PSY		語感	R					√		0
	intuition				PSY		直覺	A				√			1
	intuition				PSY		直覺	A					√		1
	Inuit						因紐特語						√		100
*	invariable			invariant	MOR		不變形詞	R				√			0
	invariable				OTH		不變體	R		√					0
	invariable				OTH		不變化的	A		√					1
*	invariable word			invariant			不變詞						√		100
	invariance				OTH		恆定	R				√			0
	invariance (condition)				OTH		不變（條件）	R		√					0
*	invariant			invariable word			不變詞						√		100
*	invariant			invariable	MOR		不變形詞	R				√			0
	invariant				OTH		不變量	R		√					0
	invariant				OTH		不變體	R		√					0
	invariant				OTH		恆定的	A				√			1
	inverse derivation						逆序派生						√		100
	inverse opposition						倒置對立						√		100
	inverse spelling						倒置拼寫						√		100
	inversion				OTH		倒置	R				√			0
	inversion						倒裝						√		100
	inversion				OTH		倒置	R		√					0
	inversion				SYN		倒裝法	A		√					1
	inversion				SYN		詞序倒裝	A		√					1
	inversion method						倒譯法						√		100
	inversion method						逆序翻譯法						√		100
	inversion method						逆譯法						√		100
	inverted						倒置詞序						√		100
	inverted						卷舌音						√		100
	inverted commas						單引號						√		100
	inverted commas						倒逗號						√		100
	inverted word order						倒置詞序						√		100
	invited inference						誘發性推理						√		100
*	IP	IP	item and process		GEN		語項與變化	R		√					0
*	IP	IP	item and process		GEN		語項與程序	A		√					1
*	IP	IP	Item and Process				語項和變化模式						√		100
*	IP	IP	item-and-process		#		項目與變化	D				√			2
*	IP	IP	inflection phrase		SYN		屈折短語	A				√			1
*	IPA	IPA	International Phonetic Alphabet		PHT		國際音標	R					√		0
*	IPA	IPA	International Phonetic Association		PHT		國際語音學會	R					√		0
*	IPA [1]	IPA	International Phonetic Association		PHT		國際語音學會	R				√			0
*	IPA [2]	IPA	International Phonetic Alphabet		PHT		國際音標	R			√				0
*	IPA [3]	IPA	International Phonetic Alphabet	chart	#		國際音標表	D				√			2
	Iranian						伊朗語						√		100
	Irish						愛爾蘭語						√		100
	irony				PRG		反語	A		√					1
	irony				PRG		反諷	A						√	1
	irony				PRG		反語	A					√		1
	irony				#		諷刺話	D		√					2
*	irony			antiphrasis	#		倒反	D			√				2
	irony				PRG		反話	A			√				1
	irony				PRG		反語	A			√				1
	irony maxim						諷刺準則						√		100
	Iroquoian						易洛魁語族						√		100
	irradiation						語義擴展						√		100
	irregular						不規則的						√		100
	irregular verb						不規則動詞						√		100
	irregularity				OTH		不規則性	R				√			0
	irregularity				OTH		不規則性	R					√		0
	irregularity				OTH		不規則現象	A		√					1
	irrelevant						無區別意義的						√		100
*	IRT	IRT	item response theory				項目反應理論						√		100
	island				SYN		島	A		√		√			1
	island						孤島						√		100
	island						禁區						√		100
*	isochronism			isochrony	PHT		等音長	R				√			0
*	isochronism			isochrony	PHT		等時長	R						√	0
	isochronism				PHT		同音長	A		√					1
	isochronism				PHT		同音長	A					√		1
	isoerg						同文線						√		100
	isogloss				SOC		同語線	R		√					0
*	isogloss			isoglottic line	SOC		同言線	A				√			1
*	isogloss			isograph	SOC		同言線	A				√			1
*	isogloss			isoglottic line	SOC		等言線	A				√			1
*	isogloss			isograph	SOC		等言線	A				√			1
	isogloss				SOC		同言線	A		√					1
*	isogloss			isoglottic line			等語線						√		100
	isoglottic line				SOC		同語線	R		√					0
*	isoglottic line			isogloss	SOC		同言線	A				√			1
*	isoglottic line			isograph	SOC		同言線	A				√			1
*	isoglottic line			isogloss	SOC		等言線	A				√			1
*	isoglottic line			isograph	SOC		等言線	A				√			1
*	isoglottic line			isogloss	SOC		等語線	A					√		1
	isoglottic line				SOC		等語線	A		√					1
*	isograde			isopleth			同文線						√		100
*	isograph			isogloss	SOC		同言線	R				√			0
*	isograph			isoglottic line	SOC		同言線	R				√			0
	isograph				SOC		同言線	R					√		0
*	isograph			isogloss	SOC		等言線	A				√			1
*	isograph			isoglottic line	SOC		等言線	A				√			1
	isograph				SOC		同語線	A		√					1
	isograph				SOC		同語線	A					√		1
	isograph						等語線						√		100
	isolate						孤立成分						√		100
	isolate						切分成分						√		100
	isolated area						獨立區域						√		100
	isolated word and phrase recognition						孤立詞語識別						√		100
*	isolating language			 radical language	TYP		孤立語	R		√					0
	isolating language				TYP		孤立語	R			√				0
	isolating language				TYP		孤立語	R				√			0
	isolating language				TYP		孤立語	R					√		0
	isolating language				TYP		分析語	A			√				1
*	isolating language			 radical language	#		詞根語	D		√					2
	isolative sound change						孤立音變						√		100
*	isolect	lect	isolect		SOC		獨言	R		√					0
	isolect				SOC		同言語	A				√			1
	isolect				SOC		同言語	A					√		1
	isolex						同詞線						√		100
	isolexic line						同詞線						√		100
	isomorph						同形線						√		100
	isomorphic line						同形線						√		100
	isomorphism						同型性						√		100
*	isophone			isophonic line			同音線						√		100
*	isophonic line			isophone	SOC		同音線	R				√			0
*	isophonic line			isophone	SOC		同音線	R					√		0
	isophonic line				SOC		同音線	R		√					0
*	isopleth			isoerg			同文線						√		100
	isosyllabism						等音節現象						√		100
	isosyntagmic line						同句法結構線						√		100
	isotonic line						同調線						√		100
	isotopy						同位素現象						√		100
*	ISPhS	ISPhS	International Society of Phonetic Sciences				國際語音科學協會						√		100
*	ITA	ITA	Initial Teaching Alphabet				啟蒙教學字母						√		100
	Italian						意大利語						√		100
	Italic						意大利語族						√		100
	item				GEN		語項	R		√		√			0
	item				GEN		語項	R					√		0
	item				OTH		項	A				√			1
	item				OTH		項	A					√		1
	item				#		項目	D		√		√			2
	item				#		項目	D					√		2
	item analysis						試題分析						√		100
	item analysis						項目分析						√		100
*	Item and Arrangement	IA	Item and Arrangement				語項與配列模式						√		100
	Item and Arrangement Grammar						語項與配列語法						√		100
*	Item and Process	IP	Item and Process				語項和變化模式						√		100
	Item and Process Grammar						語項和變化語法						√		100
	item bank						試題庫						√		100
	item characteristic curves						試題特徵曲線						√		100
	item characteristic curves						項目特徵曲線						√		100
*	item difficulty			item facility			試題難度						√		100
	item discrimination						試題區分度						√		100
*	item facility			item difficulty			試題難度						√		100
*	item response theory	IRT	item response theory				項目反應理論						√		100
	item response theory						試題響應理論						√		100
*	iteration			reiteration	CML		複用	R				√			0
	iteration				CML		重複	A		√					1
	iterative						反複體						√		100
*	iterative compound			repetitive compound			重疊複合詞						√		100
*	iterative numeral			multiplicative numeral			倍數詞						√		100
	iterative vs. semelfactive						反複體對一次體						√		100
	Jamaican Creole						牙買加克里奧耳語						√		100
	Japanese						日語						√		100
*	jargon			cant	LEX		行話	R			√				0
	jargon				LEX		行話	R					√		0
*	jargon			cant	LEX		行業詞	A			√				1
*	jargon			cant	LEX		行業語	A			√				1
	jargon						莫名其妙的話						√		100
	jargon				LEX		隱語	A		√					1
	jargon				LEX		黑話	A		√					1
	jargon				LEX		行話	R		√					0
	jargon				LEX		行業語	A		√					1
	jargon				#		俚語	D		√					2
	jargon				#		同行語	D		√					2
	Javanese						爪哇語						√		100
	jocular formation						詼諧語						√		100
	journalistic language						新聞語言						√		100
	junction				SYN		連接關係	A		√					1
	junction				SYN		附連式	A				√			1
	junction						連接						√		100
	junctive						連接詞						√		100
	juncture				PHT		音渡	A					√		1
	juncture				#		連音	D					√		2
	juncture [1]				PHT		音聯	R		√					0
	juncture [1]				PHT		音渡	A		√					1
	juncture [1]				#		連音	D		√					2
	juncture [2]				PHT		接合渡	A		√					1
	juncture [2]				PHT		斷續渡	A		√					1
	juncture [2]				PHT		銜接點	A		√					1
	juncture				PHT		音渡	A				√			1
	juncture				PHT		渡連	R				√			0
*	Junggrammatiker			Neogrammarians			新語法學派						√		100
	jussive						弱祈使句						√		100
	juxtaposed compound						並列複合詞						√		100
	juxtaposing language						並列語						√		100
	juxtaposition						鄰接						√		100
	juxtapositional assimilation						鄰接同化						√		100
	juxtapositional dissimilation						鄰近異化						√		100
	k-command						k統制						√		100
	kana						假名						√		100
	Kannada						坎納達語						√		100
	Kashubian						卡舒布語						√		100
	katakana						片假名						√		100
	Katharévusa						純正希臘語						√		100
	Katz-Postal hypothesis						卡茲－波斯特假設						√		100
	keneme						空單位						√		100
	keneme						虛單位						√		100
	kernel				SYN		核心	A		√					1
	kernel				SYN		核心［句］	A				√			1
	kernel sentence				SYN		核句	A		√					1
	kernel sentence				SYN		核心句	A				√			1
	kernel sentence				SYN		核心句	A					√		1
	key				PRG		基調	A					√		1
	key						風格						√		100
	key						音高變化						√		100
	key				#		格調	D				√			2
	key				#		部首	D		√					2
	key				PRG		基調	A				√			1
	key				#		語體	D		√					2
	key				#		傳達信息的方式	D		√					2
	key				PHT		音調	R		√					0
*	key word in context	KWIC	key word in context				關鍵詞居中方式						√		100
	key-word						關鍵詞						√		100
*	keystone to overall design for integration and application of knowledge	KODIAK	keystone to overall design for integration and application of knowledge				知識綜合與運用總體設計要旨						√		100
	Khoisan						科伊商語						√		100
	kinaesthetic feedback						動覺反饙						√		100
	kine						手勢語最小單位表述						√		100
*	kineme			chereme	SGN		勢位	R				√			0
	kineme						手勢語最小單位						√		100
	kineme				PHT		發音器官動作	R		√					0
	kineme				SGN		手語的結構單位	R		√					0
	kinemics						手勢語研究						√		100
	kinesics				SGN		肢體語言學	R			√				0
	kinesics				SGN		人體動作學	A		√					1
	kinesics				SGN		身勢表達	A				√			1
	kinesics				SGN		身勢語言學	A			√				1
	kinesics				SGN		體態語言學	A			√				1
	kinesics				#		人體表意學	D		√					2
	kinesics				#		勢態語言學	D			√				2
	kinesics				#		舉止神態學	D		√					2
	kinesics				#		身勢學	D				√			2
	kinesics				#		身勢學	D					√		2
	kinesics						手勢學						√		100
	kinetic consonant						動輔音						√		100
	kinship terms						親屬關係詞項						√		100
	Kituba						基圖巴語						√		100
	knowledge representation						知識表徵						√		100
*	KODIAK	KODIAK	keystone to overall design for integration and application of knowledge				知識綜合與運用總體設計要旨						√		100
	koine						基礎方言						√		100
	Kommand						k統制						√		100
	Konkani language						孔坎尼語						√		100
	Kordofanian						科多芬尼亞語						√		100
	Kordofanian						科多芬尼亞語支						√		100
	Korean						朝鮮語						√		100
*	KR21			Kuder-Richardson reliability coefficient			庫德－理查遜信度系數						√		100
	Krio						克里奧語						√		100
*	Kuder-Richardson reliability coefficient			KR21			庫德－理查遜信度系數						√		100
	Kuder-Richardson reliability coefficient						KR2l						√		100
	Kurdish						庫爾德語						√		100
	kurtosis						峰態						√		100
	Kwa						克瓦語						√		100
*	KWIC	KWIC	key word in context				關鍵詞居中方式						√		100
	kymograph				PHT		波動曲線記錄器	R		√					0
	kymograph				PHT		示波器	R						√	0
	kymograph				PHT		浪紋計	A		√					1
	kymograph				PHT		記紋器	A			√				1
	kymograph						描波器						√		100
	L-variety						低品種						√		100
	L-variety						低使用變體						√		100
*	L1	L1	first language				第一語言						√		100
*	L1	L1	first language				母語						√		100
*	L2	L2	second language				第二語言						√		100
	label				CML		標籤	R			√	√			0
	label				CML		標記	R		√					0
	label				CML		標示	A		√					1
	label				#		標明	D		√					2
	labeled bracketing						標記括號法						√		100
	labelling				CML		標明詞類	R		√					0
	labelling				CML		加標籤	R				√			0
	labial				PHT		唇音	R		√	√	√			0
	labial				PHT		唇音性	R						√	0
	labial				PHT		唇音	R					√		0
*	labialization			labialize	PHT		圓唇化	R				√			0
*	labialization			lip rounding	PHT		圓唇化	R					√		0
	labialization				PHT		圓唇化	R		√					0
	labialization						唇音化						√		100
	labialized				PHT		圓唇化的	R		√		√			0
	labile verb						不穩定動詞						√		100
	labio-dental				PHT		唇齒音	R				√			0
	labio-dental				PHT		唇齒	A		√					1
	labio-velar				PHT		圓唇軟齶音	R		√					0
	labio-velar				PHT		雙唇－軟齶音	R						√	0
	labio-velar				PHT		圓唇軟齶音	R				√			0
	labio-velar				PHT		雙唇－軟齶音	R						√	0
	labiodental				PHT		唇齒音	R					√		0
	labiovelar				PHT		圓唇軟齶音	R					√		0
*	laboratory phonetics			experimental phonetics			實驗語音學						√		100
	lack of specification						詞項意義缺乏確指						√		100
*	LAD	LAD	language acquisition device		PSY		語言獲得機制	R			√	√			0
*	LAD	LAD	language acquisition device		PSY		語言習得機制	A		√	√				1
*	LAD	LAD	Language Acquisition Device		PSY		語言習得機制	A					√		1
	ladder-spiral approach						階梯螺旋教學法						√		100
	lag				PHT		時延	R				√			0
*	LAG			lag	PHN		移後同化	A					√		1
	lag				PHN		移後同化	A		√					1
	Lahu language				TYP		拉祜語	R		√	√				0
	lallation						幼兒語						√		100
	Lambda (λ)						蘭姆達（算子）						√		100
	lambdacism						l化						√		100
	lambdaism						l化						√		100
*	lamina [1]			tongue blade	PHT		舌葉	R			√				0
