Marking	English	Abbreviated Form	Full Form	Equivalent	Subfield1	Subfield2	Chinese	Recommendation	Count	A) 理論與應用語言學英漢辭典	B) 語言學名詞2011	C) 現代語言學詞典	D) 新編英漢語言學詞典	E) LSHK	Sort1
	acute				PHT	PHN	尖銳性	A		√					1
	acute				#		尖的	D		√					2
	acute				#		細	D		√					2
	acute				#		輕尖	D		√					2
	acute				#		銳音［性］	D				√			2
	acute				#		銳音	D					√		2
	acute accent						銳音符						√		100
	acute accent						銳重音						√		100
	Adam’s apple						喉結						√		100
	adaptability						順應性						√		100
	adaptation				#		取韻	D			√				2
	adaptation				#		叶句	D			√				2
	adaptation				#		叶音	D			√				2
	adaptation				#		叶韻	D			√				2
	adaptation				#		適應變化	D		√					2
	adaptation				#		順應	D		√					2
	adaptation				#		適應變化	D					√		2
	adaptation						歸化						√		100
	adaptation						順應變化						√		100
	additive						添加						√		100
	additive adjuncts						補充附加語						√		100
	additive adverbs						加添副詞						√		100
	additive bilingual education						添加式雙語教育						√		100
	additive bilingualism				SOC		增益性雙語現象	R			√				0
	additive bilingualism				SOC		增益雙語現象	A				√			1
	additive bilingualism				SOC		相加雙語教育	A		√					1
	additive bilingualism				SOC		附加性雙語現象	A			√				1
	additive clause						附加從句						√		100
	additive conjuncts						補充聯加語						√		100
	additive coordinators						添加並列連詞						√		100
	address						稱呼						√		100
	address form						稱呼形式						√		100
	address system				SOC	LEX	稱謂系統	R						√	0
	address system				SOC	LEX	稱呼系統	A				√			1
	address system				#		稱呼語系統	D		√					2
	address system						稱呼體系						√		100
	addressee						受話人						√		100
	addresser						發話人						√		100
	adequacy				!!		充分性	R				√			0
	adequacy				GEN		充分性	R					√		0
	adequacy				#		妥當性	D		√					2
	adequacy				#		適合性	D		√					2
	adequate translation						適用性翻譯						√		100
	adessive				SYN	TYP	近處格	A		√		√			1
	adessive						毗鄰格						√		100
	adherent adjectives						附著形容詞						√		100
	adherent participle						附著分詞						√		100
	adhortative						第一人稱命令式						√		100
	adjacency						毗鄰						√		100
	adjacency condition						毗鄰條件						√		100
	adjacency pair				SOC		相鄰對	R					√	√	0
	adjacency pair				SOC		配對相關話語	A		√					1
	adjacency pair				#		鄰接對	D			√	√			2
	adjacency pair						鄰接話對						√		100
	adjacency parameter						毗鄰參數						√		100
	adjacency principle						相鄰原則						√		100
	adjacent				GEN		鄰接的	R		√		√			0
	adjectival				SYN		定語	A		√					1
	adjectival				SYN		形容（詞）語	A		√					1
	adjectival				SYN		形容詞化	A		√					1
	adjectival				SYN		形容詞性的［成分］	A				√			1
	adjectival				SYN		形容詞的	A		√					1
	adjectival						形容詞性結構						√		100
	adjectival adverb						形容詞性副詞						√		100
	adjectival clause						形容詞性從句						√		100
*	adjectival group			adjective group			形容詞詞組						√		100
	adjectival noun						名詞對等形容詞						√		100
	adjectival participle clause						定語分詞短語						√		100
	adjectival passive						形容詞性被動結構						√		100
	adjectival structure						形容詞性結構						√		100
*	adjective	A	adjective		SYN		形容詞	R				√			0
	adjective				SYN		形容詞	R		√	√				0
	adjective				SYN		形容詞	R					√		0
	adjective				#		狀詞	D		√					2
	adjective				#		靜詞	D		√					2
	adjective clause						形容詞從句						√		100
	adjective complement						形容詞補足語						√		100
*	adjective group			adjectival group			形容詞詞組						√		100
	adjective phrases						形容詞短語						√		100
	adjective predicate						形容詞謂語						√		100
	adjectivization						形容詞化						√		100
*	adjoin			adjunction	SYN		附接	R				√			0
	adjoin				SYN		加接	A		√					1
	adjunct				SYN		附接語	R				√			0
	adjunct				SYN		附加語	A		√					1
	adjunct				SYN		附加語	A					√		1
	adjunct				#		修飾語	D		√					2
	adjunct				#		小句子狀語用法	D		√					2
